City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
224,Puro,PH,2022-05-02 00:23:54,12.4841,123.3827,81.99,75,88,9.1,overcast clouds
225,Aksu,CN,2022-05-02 00:23:55,41.1231,80.2644,59.07,24,73,6.22,broken clouds
226,Harindanga,IN,2022-05-02 00:23:55,22.0383,88.3214,81.52,82,46,14.43,scattered clouds
227,Ambilobe,MG,2022-05-02 00:23:56,-13.2,49.05,72.39,97,27,2.95,scattered clouds
228,Sorong,ID,2022-05-02 00:23:56,-0.8833,131.25,82.2,79,87,7.27,overcast clouds
229,Saint George,US,2022-05-02 00:23:57,37.1041,-113.5841,74.62,15,0,27.63,clear sky
230,Collecchio,IT,2022-05-02 00:24:57,44.754,10.2184,53.56,86,28,3.27,scattered clouds
231,Olafsvik,IS,2022-05-02 00:24:58,64.8945,-23.7142,33.4,64,17,19.04,few clouds
232,Mutoko,ZW,2022-05-02 00:24:58,-17.397,32.2268,53.73,88,6,3.98,clear sky
233,Morondava,MG,2022-05-02 00:24:59,-20.2833,44.2833,71.46,76,0,11.43,clear sky
234,Paamiut,GL,2022-05-02 00:24:59,61.994,-49.6678,31.48,92,68,6.31,broken clouds
235,Saldanha,ZA,2022-05-02 00:25:00,-33.0117,17.9442,55.45,75,5,7.56,clear sky
236,Loandjili,CG,2022-05-02 00:25:00,-4.7561,11.8578,77.67,91,96,3.67,light rain
237,Kibala,TD,2022-05-02 00:25:01,9.1104,18.3463,83.86,49,70,6.6,broken clouds
238,Bekhtery,UA,2022-05-02 00:25:01,46.251,32.2927,49.93,66,66,7.34,broken clouds
239,Kropotkin,RU,2022-05-02 00:22:03,45.4375,40.5756,49.73,95,100,16.35,light rain
240,Dudinka,RU,2022-05-02 00:25:03,69.4058,86.1778,20.62,96,96,10.38,overcast clouds
241,Harwich,GB,2022-05-02 00:25:03,51.9419,1.2844,52.77,77,100,2.17,overcast clouds
242,Jatiroto,ID,2022-05-02 00:25:04,-7.8833,111.1167,77.76,85,82,2.17,broken clouds
243,Praia Da Vitoria,PT,2022-05-02 00:25:04,38.7333,-27.0667,62.85,88,75,2.53,broken clouds
244,San Patricio,US,2022-05-02 00:25:05,28.017,-97.5169,83.53,74,88,17.63,overcast clouds
245,Santa Maria,BR,2022-05-02 00:25:05,-29.6842,-53.8069,61.9,100,100,0.0,overcast clouds
246,Tadine,NC,2022-05-02 00:25:06,-21.55,167.8833,78.53,85,45,14.32,scattered clouds
247,Dalby,AU,2022-05-02 00:25:07,-27.1833,151.2667,74.98,56,56,3.0,broken clouds
248,Russell,US,2022-05-02 00:24:27,32.3502,-85.1999,76.6,75,20,4.61,few clouds
249,Bombay,IN,2022-05-02 00:21:03,19.0144,72.8479,84.18,84,40,4.61,haze
250,Dneprovskaya,RU,2022-05-02 00:25:07,45.6236,38.8081,49.91,95,100,13.15,light rain
251,Aklavik,CA,2022-05-02 00:25:08,68.2191,-135.0107,39.06,84,67,14.92,broken clouds
252,Codrington,AU,2022-05-02 00:25:09,-38.2667,141.9667,64.09,66,100,12.1,overcast clouds
253,Cockburn Town,TC,2022-05-02 00:25:09,21.4612,-71.1419,75.16,83,75,8.05,broken clouds
254,Antalaha,MG,2022-05-02 00:25:09,-14.9003,50.2788,74.62,90,36,5.7,scattered clouds
255,Dedougou,BF,2022-05-02 00:25:10,12.4667,-3.4667,90.73,36,75,3.13,broken clouds
256,Fairbanks,US,2022-05-02 00:25:03,64.8378,-147.7164,56.08,33,0,5.75,clear sky
257,Luderitz,NA,2022-05-02 00:25:11,-26.6481,15.1594,71.56,26,0,9.4,clear sky
258,Kushima,JP,2022-05-02 00:25:11,31.4583,131.2333,64.06,61,100,3.02,overcast clouds
259,Beaverlodge,CA,2022-05-02 00:24:23,55.2166,-119.4361,47.55,95,100,9.69,overcast clouds
260,Muli,MV,2022-05-02 00:25:12,2.9167,73.5667,85.28,74,97,20.92,overcast clouds
